bloque,bloque_nombre,familia,parametro,subescala,instrumento,N,escenario,k,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,epps_pulley,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,epps_pulley_na,sstn_na,segundos
1,Replica directa (8 familias),convolucion_uniforme_normal,0.6,NA,NA,NA,NA,NA,50,10000,0.2809,0.2666,0.151,1e-4,0.4158,0.2272,0.1273,0.1258,0.5701,0.6374,0.2717,0,0,0,0,0,0,0,0,0,0,0,73.59750628471375
1,Replica directa (8 familias),convolucion_uniforme_normal,0.6,NA,NA,NA,NA,NA,100,10000,0.6753,0.6107,0.3395,0.0733,0.844,0.5256,0.4604,0.2648,0.9166,0.8854,0.6469,0,0,0,0,0,0,0,0,0,0,0,70.18539905548096
1,Replica directa (8 familias),convolucion_uniforme_normal,0.6,NA,NA,NA,NA,NA,250,10000,0.9945,0.9844,0.8224,0.9769,0.9992,0.958,0.9799,0.7158,0.9998,0.9983,0.9923,0,0,0,0,0,0,0,0,0,0,0,79.3027331829071
1,Replica directa (8 familias),convolucion_uniforme_normal,0.6,NA,NA,NA,NA,NA,500,10000,1,1,0.9947,1,1,0.9997,1,0.9805,1,1,1,0,0,0,0,0,0,0,0,0,0,0,95.08305716514587
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,10,10000,0.0491,0.0485,0.0493,0.0028,NA,0.0486,0.0378,0.0687,0.0394,0.165,0.0314,0,0,0,0,10000,0,0,0,0,0,0,74.13191795349121
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,25,10000,0.0775,0.0829,0.0639,0.0011,0.0686,0.0814,0.0326,0.0755,0.1457,0.3297,0.0581,0,0,0,0,0,0,0,0,0,0,0,78.19368743896484
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,50,10000,0.1669,0.1757,0.1144,3e-4,0.2461,0.1622,0.0726,0.1028,0.3904,0.4766,0.1628,0,0,0,0,0,0,0,0,0,0,0,74.89120578765869
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,100,10000,0.3999,0.3834,0.2229,0.0173,0.5903,0.3358,0.2217,0.1676,0.7244,0.6972,0.398,0,0,0,0,0,0,0,0,0,0,0,69.67735862731934
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,250,10000,0.9086,0.872,0.6051,0.7675,0.9727,0.8122,0.8071,0.4597,0.9887,0.9681,0.9063,0,0,0,0,0,0,0,0,0,0,0,77.85730719566345
1,Replica directa (8 familias),convolucion_uniforme_normal,0.8,NA,NA,NA,NA,NA,500,10000,0.9989,0.9971,0.9343,0.9981,0.9999,0.9926,0.9962,0.8298,1,1,0.999,0,0,0,0,0,0,0,0,0,0,0,93.85078048706056
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,10,10000,0.0449,0.0444,0.0471,0.0045,NA,0.0458,0.0376,0.069,0.0331,0.147,0.0341,0,0,0,0,10000,0,0,0,0,0,0,73.75206875801086
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,25,10000,0.0609,0.0656,0.0587,0.0028,0.052,0.0652,0.0298,0.0733,0.1049,0.2548,0.0455,0,0,0,0,0,0,0,0,0,0,0,75.36183977127075
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,50,10000,0.103,0.1135,0.0807,0.001,0.1479,0.1083,0.0412,0.0813,0.2497,0.3324,0.0979,0,0,0,0,0,0,0,0,0,0,0,71.17895483970642
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,100,10000,0.2142,0.2298,0.1386,0.0053,0.3445,0.2065,0.1046,0.1135,0.4865,0.4781,0.2149,0,0,0,0,0,0,0,0,0,0,0,68.17506051063538
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,250,10000,0.634,0.6068,0.3631,0.3779,0.8018,0.5505,0.4626,0.2483,0.886,0.8169,0.647,0,0,0,0,0,0,0,0,0,0,0,75.39316153526306
1,Replica directa (8 familias),convolucion_uniforme_normal,1,NA,NA,NA,NA,NA,500,10000,0.9563,0.9388,0.725,0.9331,0.9882,0.8997,0.9088,0.521,0.9961,0.9859,0.9621,0,0,0,0,0,0,0,0,0,0,0,91.0289466381073
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,10,10000,0.4349,0.4028,0.297,0.1435,NA,0.3747,0.4217,0.3881,0.2164,0.1334,0.3891,0,0,0,0,10000,0,0,0,0,0,0,72.56891798973083
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,25,10000,0.9259,0.8742,0.6928,0.6167,0.705,0.8322,0.8957,0.7901,0.4338,0.4063,0.8646,0,0,0,0,0,0,0,0,0,0,0,73.64190125465393
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,50,10000,0.9997,0.9964,0.9588,0.9563,0.9641,0.9906,0.9988,0.9833,0.6494,0.8239,0.995,0,0,0,0,0,0,0,0,0,0,0,70.88198280334473
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,100,10000,1,1,1,1,1,1,1,1,0.893,0.997,1,0,0,0,0,0,0,0,0,0,0,0,67.89732122421265
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,250,10000,1,1,1,1,1,1,1,1,0.9959,1,1,0,0,0,0,0,0,0,0,0,0,0,75.26307463645935
1,Replica directa (8 familias),gamma,1,NA,NA,NA,NA,NA,500,10000,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,90.79076337814332
1,Replica directa (8 familias),gamma,4,NA,NA,NA,NA,NA,10,10000,0.1369,0.1283,0.1088,0.0424,NA,0.1203,0.1441,0.1208,0.0921,0.1162,0.1392,0,0,0,0,10000,0,0,0,0,0,0,67.82337260246277
